# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.033 0.450 2930.520000 33.661600 4137 4293 10000 665273066.728200 4168687145.903924 0.000511 0.002356 10000
0.033 0.454 3032.803600 35.468000 4366 4528 10000 631614644.525310 3406447141.760689 0.000473 0.002005 10000
0.033 0.458 3129.510300 37.142700 4590 4752 10000 701426971.800308 3660512576.640065 0.000521 0.002308 10000
0.033 0.462 3230.366400 38.737800 4808 4962 10000 720556305.343056 3972692261.327634 0.000561 0.002333 10000
0.033 0.466 3343.895600 40.471800 5038 5196 10000 782176419.801425 4348526855.551034 0.000612 0.002512 10000
0.033 0.470 3453.830200 42.291800 5283 5439 10000 829436000.051740 4560572878.591103 0.000713 0.002721 10000
0.036 0.438 2567.297900 28.407800 3413 3548 10000 540134894.062137 3906573949.774869 0.000428 0.002031 10000
0.036 0.442 2697.737300 30.165200 3649 3791 10000 500173567.143666 3505053270.979612 0.000395 0.001773 10000
0.036 0.446 2811.655500 31.719200 3853 4003 10000 596984712.056313 4302228311.105545 0.000453 0.002000 10000
0.036 0.450 2932.489600 33.416800 4076 4235 10000 599902975.143686 3739051062.342427 0.000499 0.002200 10000
0.036 0.454 3046.666400 35.158600 4320 4485 10000 688543330.308751 4161836390.202583 0.000501 0.002172 10000
0.036 0.458 3161.071900 37.008800 4551 4724 10000 663656102.767075 3690606050.944156 0.000513 0.002285 10000
0.036 0.462 3245.496400 38.567000 4769 4937 10000 788501657.483813 4779108895.603897 0.000555 0.002242 10000
0.036 0.466 3359.853800 40.243100 4989 5155 10000 713405511.855925 3806770583.316639 0.000642 0.002615 10000
0.036 0.470 3483.531600 42.132600 5249 5413 10000 788582545.992470 4251579827.410110 0.000617 0.002393 10000
0.039 0.438 2577.898100 28.218900 3366 3508 10000 456858181.858996 3226622308.710832 0.000437 0.002091 10000
0.039 0.442 2707.674400 29.966500 3612 3759 10000 540876223.930049 3631548519.156274 0.000409 0.001942 10000
0.039 0.446 2815.465800 31.619400 3815 3970 10000 508883673.369879 3277495110.147860 0.000434 0.001871 10000
0.039 0.450 2941.407700 33.214800 4029 4196 10000 595351075.383136 4079383674.911401 0.000481 0.002062 10000
0.039 0.454 3057.908000 34.908700 4263 4438 10000 640226064.009496 3906917206.001155 0.000555 0.002504 10000
0.039 0.458 3166.603700 36.815100 4500 4678 10000 666058573.251019 3803987324.677325 0.000500 0.002142 10000
0.039 0.462 3267.266400 38.386000 4726 4896 10000 724921642.025955 4047385478.148616 0.000542 0.002314 10000
0.039 0.466 3371.697500 40.014000 4938 5110 10000 685501501.711964 3712322488.384659 0.000661 0.002812 10000
0.039 0.470 3497.907900 41.927000 5196 5374 10000 742940922.081076 3755282558.702198 0.000629 0.002534 10000
0.042 0.438 2580.659200 28.018600 3320 3469 10000 408872541.549399 3010156181.544806 0.000438 0.002207 10000
0.042 0.442 2713.266200 29.831400 3561 3719 10000 480891909.147003 3257501033.454568 0.000433 0.002034 10000
0.042 0.446 2821.324500 31.386400 3769 3936 10000 508049076.265734 3538157870.085589 0.000456 0.002125 10000
0.042 0.450 2950.315200 33.014100 3982 4157 10000 477371714.245823 2862698788.357980 0.000523 0.002333 10000
0.042 0.454 3074.615000 34.714200 4217 4399 10000 600356821.959896 3585636036.868487 0.000549 0.002440 10000
0.042 0.458 3185.313500 36.519200 4455 4640 10000 656415544.157284 3971681017.877721 0.000520 0.002305 10000
0.042 0.462 3293.375500 38.210900 4684 4868 10000 705892147.772827 4153995303.354647 0.000537 0.002171 10000
0.042 0.466 3408.749000 40.026300 4930 5116 10000 722526264.724002 4135816837.221871 0.000548 0.002268 10000
0.042 0.470 3532.908900 41.783500 5158 5341 10000 681330324.970382 3551994990.083117 0.000628 0.002590 10000
0.045 0.438 2574.929500 27.971800 3283 3449 10000 378063765.542293 2796570351.964760 0.000407 0.001942 10000
0.045 0.442 2715.133900 29.556800 3507 3676 10000 476463732.140233 3495299012.430549 0.000453 0.002170 10000
0.045 0.446 2834.508100 31.244300 3740 3915 10000 511829057.992099 3232778970.981275 0.000456 0.002040 10000
0.045 0.450 2959.422600 32.932000 3951 4134 10000 525223304.292196 3709748387.630920 0.000472 0.002224 10000
0.045 0.454 3092.232600 34.577700 4181 4367 10000 600285686.304448 3964032173.566136 0.000523 0.002320 10000
0.045 0.458 3207.858100 36.298700 4412 4604 10000 618859991.570396 3735405485.124343 0.000546 0.002459 10000
0.045 0.462 3314.739300 38.072300 4645 4837 10000 683774487.865911 4171058557.494083 0.000539 0.002169 10000
0.045 0.466 3434.099900 39.768400 4884 5077 10000 692932699.025242 3936848943.310925 0.000567 0.002368 10000
0.045 0.470 3534.084000 41.598300 5110 5305 10000 683643838.346056 3789316644.225458 0.000587 0.002401 10000
0.048 0.442 2722.488700 29.498500 3474 3656 10000 452817173.354793 3492203667.938555 0.000427 0.001997 10000
0.048 0.446 2847.195100 31.052500 3691 3874 10000 502339318.502961 3705646739.437461 0.000476 0.002136 10000
0.048 0.450 2969.475000 32.869200 3919 4107 10000 480344202.847664 3172321574.000690 0.000496 0.002424 10000
0.048 0.454 3101.516200 34.425500 4137 4325 10000 508711162.477460 3154145171.482172 0.000555 0.002580 10000
0.048 0.458 3214.668900 36.079000 4367 4566 10000 605468330.357033 3786665122.571871 0.000577 0.002747 10000
0.048 0.462 3341.940600 37.821900 4603 4799 10000 604265851.904709 3904762226.790924 0.000619 0.002871 10000
0.048 0.466 3451.376700 39.574100 4835 5041 10000 706570605.529942 4323740720.059402 0.000646 0.002825 10000
0.048 0.470 3553.228500 41.444700 5081 5283 10000 750288024.076615 4455802574.453013 0.000559 0.002362 10000
0.048 0.474 3660.835100 43.001500 5288 5500 10000 728680528.885165 4254385090.853868 0.000660 0.002789 10000
0.051 0.442 2727.330700 29.404400 3442 3632 10000 430715018.887607 3604213055.200494 0.000444 0.002206 10000
0.051 0.446 2846.277500 30.800400 3648 3842 10000 434486535.200767 2961173833.815157 0.000489 0.002343 10000
0.051 0.450 2992.893000 32.708100 3899 4090 10000 516964315.582316 3475618258.508123 0.000465 0.002308 10000
0.051 0.454 3111.598500 34.281200 4102 4300 10000 478694216.553516 3150549118.002903 0.000563 0.002679 10000
0.051 0.458 3240.724700 35.909500 4339 4544 10000 591982503.292948 3970015290.422056 0.000446 0.002098 10000
0.051 0.462 3363.422900 37.720900 4580 4783 10000 588081000.401146 3529425447.192474 0.000413 0.001871 10000
0.051 0.466 3466.581900 39.310400 4792 5001 10000 650436372.025599 3796691910.143695 0.000493 0.002221 10000
0.051 0.470 3573.311900 41.046600 5027 5233 10000 676420993.654171 3607881828.734633 0.000470 0.002283 10000
0.051 0.474 3672.723400 42.792100 5250 5462 10000 664836355.169119 3463616883.930562 0.000461 0.002012 10000
0.054 0.442 2724.522100 29.216600 3403 3604 10000 347537956.343045 2621691842.586664 0.000345 0.001907 10000
0.054 0.446 2857.665700 30.653700 3613 3820 10000 425906382.415230 3362159792.172310 0.000392 0.002012 10000
0.054 0.450 2998.758000 32.541800 3853 4054 10000 492386901.449053 3679552355.110428 0.000364 0.001869 10000
0.054 0.454 3113.931400 34.101900 4067 4276 10000 484591875.239002 3079445672.600540 0.000386 0.001976 10000
0.054 0.458 3247.544700 35.768700 4291 4501 10000 557197390.679198 3859624446.934588 0.000428 0.001985 10000
0.054 0.462 3378.842800 37.517200 4539 4749 10000 590186986.303459 3710476368.048755 0.000435 0.002098 10000
0.054 0.466 3486.109000 39.118100 4749 4962 10000 607636539.861709 3963808438.584596 0.000442 0.001981 10000
0.054 0.470 3593.329400 40.807800 4981 5191 10000 700640345.198325 4280727569.106778 0.000453 0.002135 10000
0.054 0.474 3686.638200 42.578300 5205 5424 10000 689496599.759955 3990459927.636010 0.000520 0.002315 10000
0.057 0.442 2721.114300 29.060200 3373 3582 10000 383367076.830192 3335638965.918339 0.000288 0.001516 10000
0.057 0.446 2856.509000 30.558500 3574 3784 10000 415459350.631092 3407109815.509923 0.000371 0.001909 10000
0.057 0.450 2998.963500 32.303100 3808 4025 10000 434229395.739141 3058954638.199862 0.000382 0.002013 10000
0.057 0.454 3139.107600 33.966600 4042 4260 10000 485982835.080090 3526872514.279111 0.000381 0.001855 10000
0.057 0.458 3253.474500 35.520600 4250 4471 10000 473273615.755221 2949881718.068784 0.000434 0.001998 10000
0.057 0.462 3375.641000 37.199100 4475 4698 10000 565643592.043321 3515034627.272905 0.000509 0.002442 10000
0.057 0.466 3484.553900 38.854200 4698 4919 10000 568063529.097225 3308226025.308434 0.000458 0.002149 10000
0.057 0.470 3618.502700 40.611000 4939 5153 10000 656345544.024565 4251994279.304744 0.000489 0.002276 10000
0.057 0.474 3711.095700 42.287500 5165 5389 10000 676829997.961664 3560463219.271310 0.000511 0.002427 10000
0.060 0.442 2711.730800 28.852700 3329 3551 10000 319187680.639340 2282048450.519467 0.000313 0.001699 10000
0.060 0.446 2850.830900 30.348600 3531 3758 10000 376015152.918119 2828744837.094038 0.000403 0.002085 10000
0.060 0.450 3003.478100 32.122500 3768 3993 10000 443278644.078304 3412974357.787379 0.000522 0.002499 10000
0.060 0.454 3137.852300 33.777200 3994 4223 10000 469279269.209778 3571746873.121975 0.000586 0.002666 10000
0.060 0.458 3253.902500 35.335000 4209 4442 10000 488222415.798381 3058163746.027864 0.000583 0.002459 10000
0.060 0.462 3396.991600 37.037300 4448 4679 10000 539295379.104387 3495939087.400232 0.000615 0.002693 10000
0.060 0.466 3500.345800 38.687600 4672 4899 10000 608173733.569842 3892423234.853831 0.000555 0.002189 10000
0.060 0.470 3631.299400 40.326000 4891 5121 10000 574330567.434380 3461717409.332070 0.000693 0.002816 10000
0.060 0.474 3735.785300 42.029800 5126 5367 10000 681124602.231384 3915599454.784272 0.000682 0.002667 10000
0.063 0.442 2720.850400 28.719300 3306 3537 10000 350550801.303021 2841194180.770168 0.000428 0.002019 10000
0.063 0.446 2854.868400 30.258200 3504 3735 10000 364467936.500926 3129460062.107701 0.000489 0.002233 10000
0.063 0.450 3010.212900 32.035600 3741 3977 10000 442055968.607726 3800472503.444869 0.000482 0.002146 10000
0.063 0.454 3141.647900 33.576400 3957 4195 10000 469801179.763433 3547917624.049356 0.000494 0.002327 10000
0.063 0.458 3264.330100 35.123300 4169 4405 10000 445734932.858532 2952709535.394740 0.000482 0.002060 10000
0.063 0.462 3404.341200 36.822600 4409 4650 10000 499287670.205674 3141450295.605593 0.000498 0.002128 10000
0.063 0.466 3513.189900 38.438300 4625 4865 10000 531495539.604016 3441704893.670026 0.000559 0.002346 10000
0.063 0.470 3632.912000 40.070700 4845 5092 10000 556090415.522063 3405655453.597472 0.000620 0.002618 10000
0.063 0.474 3760.085100 41.788500 5075 5330 10000 597563702.112930 3493516113.458118 0.000611 0.002538 10000
0.066 0.442 2727.224400 28.557700 3275 3510 10000 356972907.828256 3272467375.180200 0.000369 0.001804 10000
0.066 0.446 2853.782500 30.139200 3476 3711 10000 309913908.986512 2308358420.641085 0.000406 0.001849 10000
0.066 0.450 3002.035400 31.789800 3694 3937 10000 368422732.553314 2734449314.699509 0.000427 0.001962 10000
0.066 0.454 3146.889800 33.490000 3922 4170 10000 442880783.279552 3538558685.519589 0.000472 0.002214 10000
0.066 0.458 3272.858800 35.045200 4140 4392 10000 428897882.538424 2923117391.294495 0.000458 0.002040 10000
0.066 0.462 3408.002800 36.680600 4363 4615 10000 465737919.822515 3058711750.014230 0.000511 0.002065 10000
0.066 0.466 3521.452100 38.166900 4581 4839 10000 542329549.826162 3410250042.376037 0.000537 0.002292 10000
0.066 0.470 3645.756500 39.873300 4817 5083 10000 575371347.377288 3497593285.335589 0.000568 0.002386 10000
0.066 0.474 3761.342400 41.523100 5024 5299 10000 534448015.038190 3078927264.465743 0.000635 0.002640 10000
0.069 0.442 2722.431500 28.360200 3237 3484 10000 260249811.044815 2484191498.830037 0.000404 0.002009 10000
0.069 0.446 2855.756800 29.920600 3445 3688 10000 377280245.751050 3139362380.361779 0.000418 0.002063 10000
0.069 0.450 3000.709500 31.562900 3660 3914 10000 368483595.131905 3074178622.770955 0.000397 0.001791 10000
0.069 0.454 3157.152800 33.337800 3893 4150 10000 403146012.003441 3292836291.989337 0.000450 0.002123 10000
0.069 0.458 3280.158100 34.937100 4111 4378 10000 421546199.721882 3088918760.494629 0.000415 0.001773 10000
0.069 0.462 3406.867700 36.401300 4316 4588 10000 423405058.606138 2729695748.560390 0.000515 0.002125 10000
0.069 0.466 3526.946900 37.844000 4536 4812 10000 529374115.537170 3507340496.064410 0.000531 0.002244 10000
