#mu sigma av_time samples_div samples_mult_eq nsamples
-0.340 0.120 4000.000000 10050 10050 10050
-0.340 0.124 4000.000000 10050 10050 10050
-0.340 0.128 4000.000000 10050 10050 10050
-0.340 0.132 4000.000000 10050 10050 10050
-0.340 0.136 4000.000000 10050 10050 10050
-0.340 0.140 4000.000000 10050 10050 10050
-0.340 0.144 4000.000000 10050 10050 10050
-0.340 0.148 4000.000000 10050 10050 10050
-0.330 0.000 4000.000000 0 0 10050
-0.330 0.004 4000.000000 0 0 10050
-0.330 0.008 4000.000000 0 2 10050
-0.330 0.012 4000.000000 0 24 10050
-0.330 0.016 4000.000000 0 135 10050
-0.330 0.020 4000.000000 0 462 10050
-0.330 0.024 4000.000000 8 1019 10050
-0.330 0.028 4000.000000 64 1621 10050
-0.330 0.032 4000.000000 257 2314 10050
-0.330 0.036 4000.000000 527 2551 8400
-0.330 0.040 4000.000000 465 1475 4050
-0.330 0.044 4000.000000 856 1964 4450
-0.330 0.048 4000.000000 709 1276 2450
-0.330 0.052 4000.000000 1526 2422 4050
-0.330 0.056 4000.000000 1838 2565 3850
-0.330 0.060 4000.000000 1831 2330 3300
-0.330 0.064 4000.000000 2812 3395 4400
-0.330 0.068 4000.000000 2897 3368 4200
-0.330 0.072 4000.000000 4801 5387 6350
-0.330 0.076 4000.000000 4936 5403 6200
-0.330 0.080 4000.000000 3335 3598 4000
-0.330 0.084 4000.000000 8536 9058 9750
-0.330 0.088 4000.000000 9115 9495 10050
