# N c mu sigma av_time av_div error_av_div samples_div nsamples prob_div error_prob av_m error_av_m
1024 2936 1500 0 9843.810000 482.490100 1.843206 9843 10000 0.984300 0.001243 0.163072 0.000677
1024 2936 3000 0 9785.086600 455.652400 1.928175 9784 10000 0.978400 0.001454 0.172652 0.000716
1024 2990 1500 0 9883.671800 520.729400 1.771277 9883 10000 0.988300 0.001075 0.147652 0.000634
1024 2990 3000 0 9833.907200 494.525600 1.883421 9833 10000 0.983300 0.001281 0.156787 0.000682
1024 3044 1500 0 9931.380800 560.468100 1.646071 9931 10000 0.993100 0.000828 0.132446 0.000571
1024 3044 3000 0 9902.536400 536.293200 1.755618 9902 10000 0.990200 0.000985 0.140543 0.000616
1024 3099 1500 0 9956.245900 595.429600 1.512348 9956 10000 0.995600 0.000662 0.119226 0.000509
1024 3099 3000 0 9927.413400 572.904700 1.657457 9927 10000 0.992700 0.000851 0.126643 0.000568
1024 3153 1500 0 9970.176200 628.787300 1.389178 9970 10000 0.997000 0.000547 0.107183 0.000451
1024 3153 3000 0 9940.386500 607.687500 1.545144 9940 10000 0.994000 0.000772 0.113915 0.000513
1024 3208 1500 0 9985.099400 659.734600 1.261477 9985 10000 0.998500 0.000387 0.096356 0.000395
1024 3208 3000 0 9974.171800 640.735400 1.410406 9974 10000 0.997400 0.000509 0.102163 0.000451
1024 3262 1500 0 9990.066700 685.485400 1.157883 9990 10000 0.999000 0.000316 0.087495 0.000349
1024 3262 3000 0 9986.087900 668.716300 1.294231 9986 10000 0.998600 0.000374 0.092428 0.000399
1024 3316 1500 0 9987.080800 709.358200 1.061466 9987 10000 0.998700 0.000360 0.079599 0.000311
1024 3316 3000 0 9982.101100 694.331600 1.184705 9982 10000 0.998200 0.000424 0.083848 0.000354
1024 3371 1500 0 9997.017400 732.183400 0.974732 9997 10000 0.999700 0.000173 0.072304 0.000275
1024 3371 3000 0 9992.047800 719.343400 1.073454 9992 10000 0.999200 0.000283 0.075789 0.000309
1024 3425 1500 0 9999.003600 753.221800 0.846590 9999 10000 0.999900 0.000100 0.065661 0.000224
1024 3425 3000 0 9998.007100 740.927300 0.958947 9998 10000 0.999800 0.000141 0.068906 0.000261
1024 3479 1500 0 10000.000000 770.441300 0.770868 10000 10000 1.000000 0.000000 0.060309 0.000196
1024 3479 3000 0 9999.010200 759.722300 0.871365 9999 10000 0.999900 0.000100 0.063034 0.000230
1024 3534 1500 0 10000.000000 787.556400 0.730840 10000 10000 1.000000 0.000000 0.055321 0.000181
1024 3534 3000 0 10000.000000 778.196300 0.822539 10000 10000 1.000000 0.000000 0.057646 0.000212
1024 3588 1500 0 9999.007200 802.791800 0.700243 9999 10000 0.999900 0.000100 0.050844 0.000172
1024 3588 3000 0 9997.014600 794.653100 0.774284 9997 10000 0.999700 0.000173 0.052796 0.000196
1024 3642 1500 0 10000.000000 816.236900 0.639349 10000 10000 1.000000 0.000000 0.046940 0.000151
1024 3642 3000 0 10000.000000 809.017700 0.691601 10000 10000 1.000000 0.000000 0.048596 0.000165
1024 3697 1500 0 10000.000000 829.161600 0.594308 10000 10000 1.000000 0.000000 0.043310 0.000135
1024 3697 3000 0 10000.000000 822.870200 0.639013 10000 10000 1.000000 0.000000 0.044705 0.000147
1024 3751 1500 0 10000.000000 840.873800 0.555410 10000 10000 1.000000 0.000000 0.040047 0.000124
1024 3751 3000 0 10000.000000 834.870100 0.599651 10000 10000 1.000000 0.000000 0.041350 0.000135
1024 3806 1500 0 10000.000000 852.922300 0.529600 10000 10000 1.000000 0.000000 0.036875 0.000117
1024 3806 3000 0 10000.000000 847.841700 0.561494 10000 10000 1.000000 0.000000 0.037952 0.000124
1024 3860 1500 0 10000.000000 861.200300 0.506606 10000 10000 1.000000 0.000000 0.034586 0.000109
1024 3860 3000 0 10000.000000 856.559100 0.536746 10000 10000 1.000000 0.000000 0.035545 0.000115
1024 3914 1500 0 10000.000000 871.185100 0.482024 10000 10000 1.000000 0.000000 0.032026 0.000101
1024 3914 3000 0 10000.000000 866.815100 0.509952 10000 10000 1.000000 0.000000 0.032914 0.000107
1024 3969 1500 0 10000.000000 879.808100 0.463917 10000 10000 1.000000 0.000000 0.029752 0.000095
1024 3969 3000 0 10000.000000 875.713600 0.491666 10000 10000 1.000000 0.000000 0.030566 0.000101
1024 4000 2500 150 10000.000000 881.704300 0.455736 10000 10000 1.000000 0.000000 0.029120 0.000093
1024 4022 1500 0 10000.000000 888.639300 0.429559 10000 10000 1.000000 0.000000 0.027560 0.000087
1024 4022 3000 0 10000.000000 884.999300 0.453792 10000 10000 1.000000 0.000000 0.028270 0.000092
1024 4077 1500 0 10000.000000 896.332200 0.415844 10000 10000 1.000000 0.000000 0.025651 0.000082
1024 4077 3000 0 10000.000000 893.093100 0.435758 10000 10000 1.000000 0.000000 0.026271 0.000087
1320 2500 2200 150 8685.715700 180.690500 1.746744 8680 10000 0.868000 0.003385 0.320638 0.000598
1320 2500 4000 150 8152.403800 132.952400 1.547791 8145 10000 0.814500 0.003887 0.336955 0.000536
1741 2500 2200 150 8758.940100 209.403500 2.099799 8753 10000 0.875300 0.003304 0.327731 0.000549
1741 2500 4000 150 8267.573900 157.705900 1.850509 8260 10000 0.826000 0.003791 0.341208 0.000489
2048 2200 2500 150 7290.909100 62.722600 0.898732 7281 10000 0.728100 0.004449 0.392813 0.000223
2048 4000 2500 150 10000.000000 1768.461200 0.628986 10000 10000 1.000000 0.000000 0.028569 0.000064
2297 2500 2200 150 8784.367300 240.306300 2.486243 8778 10000 0.877800 0.003275 0.334566 0.000497
2297 2500 4000 150 8283.555900 178.164100 2.145072 8275 10000 0.827500 0.003778 0.346936 0.000434
3031 2500 2200 150 8788.926800 272.384700 2.898099 8782 10000 0.878200 0.003271 0.341165 0.000443
3031 2500 4000 150 8329.098900 203.695400 2.511806 8320 10000 0.832000 0.003739 0.351660 0.000388
4000 2500 2200 150 8826.196200 298.777200 3.302306 8819 10000 0.881900 0.003227 0.348016 0.000387
4000 2500 4000 150 8393.460700 225.783900 2.843748 8384 10000 0.838400 0.003681 0.356536 0.000337
4096 2200 2500 150 7295.436800 67.100400 1.024992 7284 10000 0.728400 0.004448 0.399765 0.000131
4096 4000 2500 150 10000.000000 3541.837600 0.874781 10000 10000 1.000000 0.000000 0.028310 0.000044
8192 54 700 0 4.782700 0.000000 0.000000 0 10000 0.000000 0.000000 0.964114 0.000017
8192 54 700 150 4.767100 0.000000 0.000000 0 10000 0.000000 0.000000 0.964182 0.000017
8192 54 900 0 4.870200 0.000000 0.000000 0 10000 0.000000 0.000000 0.954682 0.000021
8192 54 950 0 5.026800 0.000000 0.000000 0 10000 0.000000 0.000000 0.952354 0.000022
8192 54 1050 0 21.695900 0.003600 0.000882 17 10000 0.001700 0.000412 0.950038 0.000023
8192 54 1100 0 21.695900 0.003600 0.000882 17 10000 0.001700 0.000412 0.950038 0.000023
8192 54 1500 0 21.695900 0.003600 0.000882 17 10000 0.001700 0.000412 0.950038 0.000023
8192 109 700 0 5.750600 0.000000 0.000000 0 10000 0.000000 0.000000 0.930933 0.000022
8192 109 700 150 5.749700 0.000000 0.000000 0 10000 0.000000 0.000000 0.931083 0.000022
8192 109 900 0 5.980200 0.000000 0.000000 0 10000 0.000000 0.000000 0.914149 0.000027
8192 109 950 0 6.386300 0.000000 0.000000 0 10000 0.000000 0.000000 0.910057 0.000028
8192 109 1050 0 49.541900 0.010000 0.001546 44 10000 0.004400 0.000662 0.906005 0.000029
8192 109 1100 0 49.541900 0.010000 0.001546 44 10000 0.004400 0.000662 0.906005 0.000029
8192 109 1500 0 49.541900 0.010000 0.001546 44 10000 0.004400 0.000662 0.906005 0.000029
8192 163 700 0 6.709900 0.000000 0.000000 0 10000 0.000000 0.000000 0.901141 0.000025
8192 163 700 150 6.736400 0.000000 0.000000 0 10000 0.000000 0.000000 0.901386 0.000025
