#N  c  mu  sigma  av_time_conv  std_time_conv  samples_div  samples_mult_eq  prob_div  error_prob  runtime(s)  std_runtime(s)  nsamples
1024 2830 3000 0 317.124097 622.547460 6610 0 0.657711 0.004733 0.931634 1.810209 10050
1024 2830 800 0 1922.121845 412.826472 1 0 0.000100 0.000099 0.459283 0.105533 10050
1024 2940 800 0 1956.061106 421.057638 4 0 0.000398 0.000199 0.463726 0.106747 10050
1024 2940 1100 0 547.817372 648.855741 3056 0 0.304080 0.004589 0.372137 0.344756 10050
1024 2940 1500 0 260.004283 405.838530 5137 0 0.511144 0.004986 0.484680 0.861999 10050
1024 2940 3000 0 353.192634 620.079683 7027 0 0.699204 0.004575 1.075399 1.887434 10050
1024 2940 900 0 2321.692169 646.977527 212 0 0.021095 0.001433 0.704575 0.190276 10050
1024 3040 800 0 1999.665697 457.164689 8 0 0.000796 0.000281 0.502493 0.117504 10050
1024 3040 900 0 2384.864374 679.449444 332 0 0.033035 0.001783 0.740809 0.203194 10050
1024 3040 1500 0 296.894663 474.839554 5660 0 0.563184 0.004948 0.577591 1.062010 10050
1024 3040 3000 0 400.896044 684.467713 7424 0 0.738706 0.004382 1.249584 2.160331 10050
1024 3040 1100 0 593.396087 701.067331 3522 0 0.350448 0.004759 0.422986 0.428535 10050
1024 3150 800 0 2040.584514 492.810790 18 0 0.001791 0.000422 0.495155 0.120166 10050
1024 3150 900 0 2447.891545 730.195155 444 0 0.044179 0.002050 0.778148 0.229537 10050
1024 3150 1100 0 627.677976 724.842088 3835 0 0.381592 0.004846 0.457721 0.506974 10050
1024 3150 3000 0 474.372603 843.408408 7636 0 0.759801 0.004261 1.564447 2.765382 10050
1024 3150 1500 0 334.452647 583.817920 6030 0 0.600000 0.004887 0.679165 1.351565 10050
1024 3260 800 0 2092.631654 499.928843 33 0 0.003284 0.000571 0.544768 0.130372 10050
1024 3260 900 0 2512.151042 798.181394 665 0 0.066169 0.002480 0.812881 0.245489 10050
1024 3260 1100 0 673.884453 775.408702 4368 0 0.434627 0.004945 0.523899 0.636625 10050
1024 3260 1500 0 372.727987 598.940965 6456 0 0.642388 0.004781 0.767172 1.366803 10050
1024 3260 3000 0 542.848852 863.178542 8076 0 0.803582 0.003963 1.880516 3.006340 10050
1024 3370 800 0 2140.278173 549.131624 50 0 0.004975 0.000702 0.538721 0.135010 10050
1024 3370 900 0 2564.632461 824.285953 942 0 0.093731 0.002907 0.846437 0.262270 10050
1024 3370 1100 0 741.285459 880.599082 4843 0 0.481891 0.004984 0.586547 0.808400 10050
1024 3370 1500 0 448.169322 732.873874 6810 0 0.677612 0.004662 0.981885 1.806608 10050
1024 3370 3000 0 689.305522 1064.987088 8268 0 0.822687 0.003810 2.424207 3.891204 10050
1024 3480 900 0 2647.315525 897.290690 1234 0 0.122786 0.003274 0.887277 0.283329 10050
1024 3480 1100 0 813.161375 918.966888 5161 0 0.513532 0.004986 0.694722 0.934176 10050
1024 3480 1500 0 529.350180 855.271522 7087 0 0.705174 0.004548 1.196430 2.133583 10050
1024 3480 3000 0 861.163825 1329.225707 7941 0 0.849305 0.003700 3.203458 5.130370 9350
1024 3480 800 0 2208.826761 611.952685 92 0 0.009154 0.000950 0.592930 0.159088 10050
1024 3590 800 0 2256.471440 637.651625 142 0 0.014129 0.001177 0.586440 0.160280 10050
1024 3590 1100 0 886.618782 1039.724506 5521 0 0.549353 0.004963 0.792858 1.209274 10050
1024 3590 1500 0 602.531801 970.551335 7327 0 0.729055 0.004433 1.421326 2.511511 10050
1024 3590 3000 0 1007.836906 1493.411277 7861 0 0.868619 0.003551 3.703167 5.669392 9050
1024 3590 900 0 2719.285741 937.269537 1649 0 0.164080 0.003694 0.853806 0.289555 10050
1024 3700 800 0 2315.429802 690.446870 219 0 0.021791 0.001456 0.637681 0.180690 10050
1024 3700 900 0 2778.545182 959.791621 2015 0 0.200498 0.003994 0.887818 0.304857 10050
1024 3700 1500 0 767.619151 1153.280163 7640 0 0.760199 0.004259 1.858354 3.032491 10050
1024 3700 3000 0 1121.644701 1453.921396 7473 0 0.889643 0.003419 4.332425 5.801610 8400
1024 3700 1100 0 973.418367 1123.433281 5868 0 0.583881 0.004917 0.948234 1.457715 10050
1024 3810 800 0 2404.953287 747.789805 347 0 0.034527 0.001821 0.639934 0.189061 10050
1024 3810 900 0 2864.632994 1016.283094 2537 0 0.252438 0.004333 0.931217 0.332218 10050
1024 3810 1100 0 1023.264570 1174.412924 6257 0 0.622587 0.004835 1.092574 1.631292 10050
1024 3810 3000 0 1358.128116 1731.231250 7431 0 0.911779 0.003142 5.277210 6.958556 8150
1024 3810 1500 0 911.932827 1323.153064 7870 0 0.783085 0.004111 2.268987 3.538305 10050
1024 3910 3000 0 1564.438795 1884.850049 7043 0 0.920654 0.003090 6.303229 7.795484 7650
1024 3910 800 0 2461.806477 789.111721 514 0 0.051144 0.002197 0.755154 0.233542 10050
1024 3910 900 0 2946.457849 1094.339334 3077 0 0.306169 0.004598 0.966883 0.358992 10050
1024 3910 1100 0 1141.713172 1266.225883 6524 0 0.649154 0.004760 1.305069 1.899027 10050
1024 3910 1500 0 1082.912727 1530.817460 8038 0 0.799801 0.003992 2.769233 4.184018 10050
1024 4019 800 0 2525.641622 814.247550 665 0 0.066169 0.002480 0.775547 0.241948 10050
1024 4019 900 0 3008.140734 1106.355955 3627 0 0.360896 0.004791 1.003621 0.377498 10050
1024 4019 1100 0 1249.288904 1378.445072 6816 0 0.678209 0.004660 1.512006 2.209589 10050
1024 4019 1500 0 1254.241293 1598.809707 8324 0 0.828259 0.003762 3.261426 4.408501 10050
1024 4019 3000 0 1653.694580 1965.159000 6291 0 0.938955 0.002925 7.423122 9.079233 6700
1024 4130 900 0 3083.263069 1135.557032 4267 0 0.424577 0.004930 1.041458 0.405378 10050
1024 4130 1100 0 1389.114652 1472.407146 7034 0 0.699900 0.004572 1.801091 2.543237 10050
1024 4130 1500 0 1371.811195 1734.788738 8497 0 0.845473 0.003606 3.621533 4.841292 10050
1024 4130 3000 0 1982.288868 2145.652355 6175 0 0.950000 0.002703 9.050994 10.129078 6500
1024 4130 800 0 2626.947439 902.904039 1003 0 0.099801 0.002990 0.822778 0.268641 10050
1024 4240 700 0 2249.396276 538.116893 30 0 0.002985 0.000544 0.528353 0.129151 10050
1024 4240 700 150 2247.138509 511.902324 43 0 0.004279 0.000651 0.519506 0.119811 10050
1024 4350 700 0 2289.149182 539.141166 55 0 0.005473 0.000736 0.539718 0.131628 10050
1024 4350 700 150 2291.626935 553.020464 50 0 0.004975 0.000702 0.532902 0.130155 10050
1024 4460 700 0 2350.704387 620.411827 51 0 0.005075 0.000709 0.555259 0.146944 10050
1024 4460 700 150 2352.585080 606.975776 94 0 0.009353 0.000960 0.554530 0.139399 10050
1024 4570 700 0 2393.623170 623.881287 118 0 0.011741 0.001075 0.570615 0.148229 10050
1024 4570 700 150 2412.070459 664.627543 134 0 0.013333 0.001144 0.568820 0.153539 10050
1024 4670 700 0 2468.100609 697.036135 190 0 0.018905 0.001359 0.630366 0.171026 10050
1024 4670 700 150 2468.473088 700.187913 193 0 0.019204 0.001369 0.591429 0.162819 10050
1024 4780 700 0 2540.555132 742.783796 272 0 0.027065 0.001619 0.651030 0.179993 10050
1024 4780 700 150 2523.137997 726.749643 278 0 0.027662 0.001636 0.602748 0.168517 10050
1024 4890 700 0 2607.633052 810.679368 363 0 0.036119 0.001861 0.685012 0.199209 10050
1024 4890 700 150 2597.956362 797.088885 380 0 0.037811 0.001903 0.630518 0.182986 10050
1024 5000 700 0 2663.744216 831.680825 513 0 0.051045 0.002195 0.655553 0.194589 10050
1024 5000 700 150 2672.976821 849.936743 537 0 0.053433 0.002243 0.646088 0.194592 10050
1024 5110 700 0 2719.050458 865.684935 716 0 0.071244 0.002566 0.674061 0.205066 10050
1024 5110 700 150 2749.568291 905.810632 722 0 0.071841 0.002576 0.674383 0.210068 10050
1024 5220 700 0 2807.018160 934.401108 961 0 0.095622 0.002933 0.702803 0.221930 10050
1024 5220 700 150 2817.964070 939.613597 906 0 0.090149 0.002857 0.727409 0.230524 10050
1024 5330 700 0 2891.110177 1001.779043 1210 0 0.120398 0.003246 0.729055 0.237005 10050
1024 5330 700 150 2870.555688 977.200724 1175 0 0.116915 0.003205 0.709245 0.230434 10050
